SKILL,icon,type,isCombatSkill,,,,,,,,,,
20,Iron bar (from scratch - smith 3 at a time),Iron,87.5,24,https://oldschool.runescape.wiki/images/8/80/Iron_platelegs.png?58ba8,6 Iron ore,1 Iron item,All,,0,,4,
22,Steel bar (smelt),Steel,17.5,30,https://oldschool.runescape.wiki/images/a/a2/Steel_bar.png?47c87,1 Iron ore; 2 Coal,1 Steel bar,All,,,,1,
23,Steel bar (smith 1 at a time),Steel,37.5,30,https://oldschool.runescape.wiki/images/2/2f/Steel_arrowtips.png?1038e,1 Steel bar,1 Steel item,All,,,,1,
29,Steel bar (from scratch - smith 1 at a time),Steel,55,30,https://oldschool.runescape.wiki/images/2/2f/Steel_arrowtips.png?1038e,1 Iron ore; 2 Coal,1 Steel item,All,,,,2,
17,Iron bar (smith 5 at a time),Iron,125,33,https://oldschool.runescape.wiki/images/c/cd/Iron_platebody.png?bbbfd,5 Iron bar,1 Iron item,All,,,,1,
21,Iron bar (from scratch - smith 5 at a time),Iron,137.5,33,https://oldschool.runescape.wiki/images/c/cd/Iron_platebody.png?bbbfd,10 Iron ore,1 Iron item,All,,0,,6,
24,Cannonball,Steel,25.6,35,https://oldschool.runescape.wiki/images/f/fa/Cannonball.png?06286,1 Steel bar,4 Cannonball,Kandarin,,,,1,
25,Steel bar (smith 2 at a time),Steel,75,35,https://oldschool.runescape.wiki/images/7/78/Steel_scimitar.png?d11f2,2 Steel bar,1 Steel item,All,,,,1,
30,Steel bar (from scratch - smith 2 at a time),Steel,92.5,35,https://oldschool.runescape.wiki/images/7/78/Steel_scimitar.png?d11f2,2 Iron ore; 4 Coal,1 Steel item,All,,,,3,
26,Steel bar (smith 3 at a time),Steel,112.5,39,https://oldschool.runescape.wiki/images/1/1e/Steel_platelegs.png?8e445,3 Steel bar,1 Steel item,All,,,,1,
31,Steel bar (from scratch - smith 3 at a time),Steel,130,39,https://oldschool.runescape.wiki/images/1/1e/Steel_platelegs.png?8e445,3 Iron ore; 6 Coal,1 Steel item,All,,,,4,
27,Gold bar,Other,22.5,40,https://oldschool.runescape.wiki/images/0/07/Gold_bar.png?05c77,1 Gold ore,1 Gold bar,All,0,,,1,
28,Steel bar (smith 5 at a time),Steel,187.5,48,https://oldschool.runescape.wiki/images/9/90/Steel_platebody.png?c304e,5 Steel bar,1 Steel item,All,,,,1,
32,Steel bar (from scratch - smith 5 at a time),Steel,205,48,https://oldschool.runescape.wiki/images/9/90/Steel_platebody.png?c304e,2 Iron ore; 10 Coal,1 Steel item,All,,,,6,
33,Mithril bar (smelt),Mithril,30,50,https://oldschool.runescape.wiki/images/1/18/Mithril_bar.png?a3d3b,1 Mithril ore; 4 Coal,1 Mithril bar,All,,,,1,
34,Mithril bar (smith 1 at a time),Mithril,50,50,https://oldschool.runescape.wiki/images/f/f3/Mithril_arrowtips.png?625eb,1 Mithril bar,1 Mithril item,All,,,,1,
38,Mithril bar (from scratch - smith 1 at a time),Mithril,80,50,https://oldschool.runescape.wiki/images/f/f3/Mithril_arrowtips.png?625eb,1 Mithril ore; 4 Coal,1 Mithril item,All,,,,2,
35,Mithril bar (smith 2 at a time),Mithril,100,55,https://oldschool.runescape.wiki/images/0/04/Mithril_scimitar.png?dd3b6,2 Mithril bar,1 Mithril item,All,,,,1,
39,Mithril bar (from scratch - smith 2 at a time),Mithril,130,55,https://oldschool.runescape.wiki/images/0/04/Mithril_scimitar.png?dd3b6,2 Mithril ore; 8 Coal,1 Mithril item,All,,,,3,
36,Mithril bar (smith 3 at a time),Mithril,150,59,https://oldschool.runescape.wiki/images/5/53/Mithril_platelegs.png?847d1,3 Mithril bar,1 Mithril item,All,,,,1,
40,Mithril bar (from scratch - smith 3 at a time),Mithril,180,59,https://oldschool.runescape.wiki/images/5/53/Mithril_platelegs.png?847d1,3 Mithril ore; 12 Coal,1 Mithril item,All,,,,4,
37,Mithril bar (smith 5 at a time),Mithril,250,68,https://oldschool.runescape.wiki/images/b/b5/Mithril_platebody.png?c1ded,5 Mithril bar,1 Mithril item,All,,,,1,
41,Mithril bar (from scratch - smith 5 at a time),Mithril,280,68,https://oldschool.runescape.wiki/images/b/b5/Mithril_platebody.png?c1ded,5 Mithril ore; 20 Coal,1 Mithril item,All,,,,6,
42,Adamant bar (smelt),Adamant,37.5,70,https://oldschool.runescape.wiki/images/e/eb/Adamantite_bar.png?06d1e,1 Adamant ore; 6 Coal,1 Adamant bar,All,,,,1,
43,Adamant bar (smith 1 at a time),Adamant,62.5,70,https://oldschool.runescape.wiki/images/e/e2/Adamant_arrowtips.png?53d15,1 Adamant bar,1 Adamant item,All,,,,1,
47,Adamant bar (from scratch - smith 1 at a time),Adamant,100,70,https://oldschool.runescape.wiki/images/e/e2/Adamant_arrowtips.png?53d15,1 Adamant ore; 6 Coal,1 Adamant item,All,,,,2,
48,Crystal helm,Other,2500,70,https://oldschool.runescape.wiki/images/0/0c/Crystal_helm.png?4c21e,50 Crystal shard;1 Crystal armour seed,1 Crystal helm,Tirannwn,,,,1,
49,Crystal legs,Other,5000,72,https://oldschool.runescape.wiki/images/8/8d/Crystal_legs.png?4c21e,100 Crystal shard;2 Crystal armour seed,1 Crystal legs,Tirannwn,,,,1,
50,Crystal body,Other,7500,74,https://oldschool.runescape.wiki/images/3/3e/Crystal_body.png?4c21e,150 Crystal shard;3 Crystal armour seed,1 Crystal body,Tirannwn,,,,1,
44,Adamant bar (smith 2 at a time),Adamant,125,75,https://oldschool.runescape.wiki/images/b/be/Adamant_scimitar.png?b94c4,2 Adamant bar,1 Adamant item,All,,,,1,
51,Adamant bar (from scratch - smith 2 at a time),Adamant,162.5,75,https://oldschool.runescape.wiki/images/b/be/Adamant_scimitar.png?b94c4,2 Adamant ore; 12 Coal,1 Adamant item,All,,,,3,
52,Crystal axe,Other,6000,76,https://oldschool.runescape.wiki/images/9/9d/Crystal_axe.png?41819,120 Crystal shard;1 Crystal tool seed;1 Dragon axe,1 Crystal axe,Tirannwn,,,,1,
53,Crystal harpoon,Other,6000,76,https://oldschool.runescape.wiki/images/1/1a/Crystal_harpoon.png?41819,120 Crystal shard;1 Crystal tool seed;1 Dragon harpoon,1 Crystal harpoon,Tirannwn,,,,1,
54,Crystal pickaxe,Other,6000,76,https://oldschool.runescape.wiki/images/2/23/Crystal_pickaxe.png?41819,120 Crystal shard;1 Crystal tool seed;1 Dragon pickaxe,1 Crystal pickaxe,Tirannwn,,,,1,
55,Crystal halberd,Other,2000,78,https://oldschool.runescape.wiki/images/b/bf/Crystal_halberd.png?ac4a4,40 Crystal shard;1 Crystal weapon seed,1 Crystal halberd,Tirannwn,,,,1,
45,Adamant bar (smith 3 at a time),Adamant,187.5,79,https://oldschool.runescape.wiki/images/b/b7/Adamant_platelegs.png?b8df5,3 Adamant bar,1 Adamant item,All,,,,1,
56,Adamant bar (from scratch - smith 3 at a time),Adamant,225,79,https://oldschool.runescape.wiki/images/b/b7/Adamant_platelegs.png?b8df5,3 Adamant ore; 18 Coal,1 Adamant item,All,,,,4,
57,Enhanced crystal key,Other,500,80,https://oldschool.runescape.wiki/images/e/e2/Enhanced_crystal_key.png?dec88,10 Crystal shard; 1 Crystal key,1 Enhanced crystal key,Tirannwn,,,,1,
58,Eternal teleport crystal,Other,5000,80,https://oldschool.runescape.wiki/images/0/01/Eternal_teleport_crystal.png?dec88,100 Crystal shard; 1 Enhanced crystal teleport seed,1 Eternal teleport crystal,Tirannwn,,,,1,
60,Rune bar (smelt),Rune,50,85,https://oldschool.runescape.wiki/images/8/83/Runite_bar.png?10c4d,1 Rune ore; 8 Coal,1 Rune bar,All,,,,1,
61,Rune bar (smith 1 at a time),Rune,75,85,https://oldschool.runescape.wiki/images/e/ed/Rune_arrowtips.png?c371b,1 Rune bar,1 Rune item,All,,,,1,
65,Rune bar (from scratch - smith 1 at a time),Rune,125,85,https://oldschool.runescape.wiki/images/e/ed/Rune_arrowtips.png?c371b,1 Rune ore; 8 Coal,1 Rune item,All,,,,2,
46,Adamant bar (smith 5 at a time),Adamant,312.5,88,https://oldschool.runescape.wiki/images/7/71/Adamant_platebody.png?b8df5,5 Adamant bar,1 Adamant item,All,,,,1,
59,Adamant bar (from scratch - smith 5 at a time),Adamant,350,88,https://oldschool.runescape.wiki/images/7/71/Adamant_platebody.png?b8df5,5 Adamant ore; 30 Coal,1 Adamant item,All,,,,6,
62,Rune bar (smith 2 at a time),Rune,150,90,https://oldschool.runescape.wiki/images/d/d9/Rune_scimitar.png?a7233,2 Rune bar,1 Rune item,All,,,,1,
66,Rune bar (from scratch - smith 2 at a time),Rune,200,90,https://oldschool.runescape.wiki/images/d/d9/Rune_scimitar.png?a7233,2 Rune ore; 16 Coal,1 Rune item,All,,,,3,
63,Rune bar (smith 3 at a time),Rune,225,94,https://oldschool.runescape.wiki/images/9/9a/Rune_platelegs.png?1b3fe,3 Rune bar,1 Rune item,All,,,,1,
67,Rune bar (from scratch - smith 3 at a time),Rune,275,94,https://oldschool.runescape.wiki/images/9/9a/Rune_platelegs.png?1b3fe,3 Rune ore; 24 Coal,1 Rune item,All,,,,4,
64,Rune bar (smith 5 at a time),Rune,375,99,https://oldschool.runescape.wiki/images/7/7c/Rune_platebody.png?3666d,5 Rune bar,1 Rune item,All,,,,1,
68,Rune bar (from scratch - smith 5 at a time),Rune,425,99,https://oldschool.runescape.wiki/images/7/7c/Rune_platebody.png?3666d,5 Rune ore; 40 Coal,1 Rune item,All,,,,6,
